uuid,name,name_plain,description,description_plain,item,owner,owner_plain,visits,votes,has_resource_pack,has_whitelist,player_count
,"{""italic"":false,""extra"":[{""color"":""blue"",""text"":""N""},{""color"":""#535EF9"",""text"":""C""},{""color"":""#5268F3"",""text"":""C""},{""color"":""#5071ED"",""text"":"" ""},{""color"":""#4E7AE7"",""text"":""A""},{""color"":""#4D84E1"",""text"":""r""},{""color"":""#4B8DDC"",""text"":""e""},{""color"":""#4996D6"",""text"":""n""},{""color"":""#48A0D0"",""text"":""a""},{""color"":""#46A9CA"",""text"":"" ""},{""color"":""#44B2C4"",""text"":""0""},{""color"":""#43BCBE"",""text"":"".""},{""color"":""#41C5B8"",""text"":""8""}],""text"":""""}","NCC Arena 0.8","{""italic"":false,""color"":""gray"",""text"":""Combat with Noita-esque wands""}","Combat with Noita-esque wands","warped_fungus_on_a_stick","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#1FFF0F"",""text"":""ᴍᴏᴅ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""gray"",""extra"":[{""color"":""#AAFF77"",""text"":""m""},{""color"":""#B0FF81"",""text"":""m""},{""color"":""#B6FF8A"",""text"":""m""},{""color"":""#BCFF94"",""text"":""m""},{""color"":""#C2FF9E"",""text"":""m""},{""color"":""#C8FFA7"",""text"":""a""},{""color"":""#CEFFB1"",""text"":""a""},{""color"":""#D4FFBB"",""text"":""a""},{""color"":""#DAFFC4"",""text"":""a""},{""color"":""#E0FFCE"",""text"":""a""},{""color"":""#E6FFD7"",""text"":""x""},{""color"":""#ECFFE1"",""text"":""x""},{""color"":""#F2FFEB"",""text"":""x""},{""color"":""#F8FFF4"",""text"":""x""},{""color"":""#FEFFFE"",""text"":""x""}],""text"":""""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴍᴏᴅ | mmmmmaaaaaxxxxx",1962,96,false,false,-1
,"{""italic"":false,""color"":""red"",""text"":""Abyss's Minigames""}","Abyss's Minigames","{""italic"":false,""color"":""red"",""text"":""A variety of minigames.""}","A variety of minigames.","lime_banner","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#8888FF"",""text"":""ꜰᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#7777FF"",""text"":""1""},{""color"":""#7481FF"",""text"":""2""},{""color"":""#728CFF"",""text"":""3""},{""color"":""#6F96FF"",""text"":""y""},{""color"":""#6DA1FF"",""text"":""e""},{""color"":""#6AABFF"",""text"":""a""},{""color"":""#67B6FF"",""text"":""h""},{""color"":""#65C0FF"",""text"":""_""},{""color"":""#62CBFF"",""text"":""b""},{""color"":""#5FD5FF"",""text"":""o""},{""color"":""#5DE0FF"",""text"":""i""},{""color"":""#5AEAFF"",""text"":""3""},{""color"":""#58F5FF"",""text"":""2""},{""color"":""aqua"",""text"":""1""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ꜰᴍ | 123yeah_boi321",2244,85,true,false,-1
,"{""italic"":false,""extra"":[{""color"":""green"",""text"":"" ""},{""color"":""#4FFA5B"",""text"":""������""},{""color"":""#4AF560"",""text"":"" ""},{""color"":""#44F066"",""text"":""A""},{""color"":""#3EEA6C"",""text"":""z""},{""color"":""#39E572"",""text"":""a""},{""color"":""#33E077"",""text"":""l""},{""color"":""#2DDB7D"",""text"":""e""},{""color"":""#28D683"",""text"":""a""},{""color"":""#22D189"",""text"":"" ""},{""color"":""#1CCC8E"",""text"":""M""},{""color"":""#17C794"",""text"":""a""},{""color"":""#11C19A"",""text"":""z""},{""color"":""#0BBCA0"",""text"":""e""},{""color"":""#06B7A5"",""text"":"" ""},{""color"":""#00B2AB"",""text"":""������""}],""text"":""""}"," ������ Azalea Maze ������","{""italic"":false,""color"":""white"",""extra"":[{""color"":""red"",""extra"":[{""color"":""white"",""text"":""in a maze""}],""text"":""pvp ""}],""text"":""SG inspired ""}","SG inspired pvp in a maze","flowering_azalea","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#8888FF"",""text"":""ꜰᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#7777FF"",""text"":""O""},{""color"":""#718EFF"",""text"":""t""},{""color"":""#6CA4FF"",""text"":""z""},{""color"":""#66BBFF"",""text"":""e""},{""color"":""#60D2FF"",""text"":""l""},{""color"":""#5BE8FF"",""text"":""i""},{""color"":""aqua"",""text"":""x""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ꜰᴍ | Otzelix",1236,85,false,false,-1
,"{""italic"":false,""text"":""4d r/place""}","4d r/place","{""italic"":false,""color"":""gray"",""text"":""DATAPACK WORKING AGAIN!!""}","DATAPACK WORKING AGAIN!!","player_head","{""italic"":false,""color"":""gray"",""text"":""RainBlueSkye""}","RainBlueSkye",933,80,false,false,-1
,"{""italic"":false,""extra"":[{""color"":""#FFC0CB"",""text"":""ʚ""},{""color"":""#FDB7B4"",""text"":"" ""},{""color"":""#FCAE9D"",""text"":""K""},{""color"":""#FAA687"",""text"":""o""},{""color"":""#F99D70"",""text"":""o""},{""color"":""#F79459"",""text"":""r""},{""color"":""#F98758"",""text"":""i""},{""color"":""#FA7B57"",""text"":""'""},{""color"":""#FC6E57"",""text"":""s""},{""color"":""#FD6256"",""text"":"" ""},{""color"":""red"",""text"":""A""},{""color"":""#FD6256"",""text"":""d""},{""color"":""#FC6E57"",""text"":""v""},{""color"":""#FA7B57"",""text"":""e""},{""color"":""#F98758"",""text"":""n""},{""color"":""#F79459"",""text"":""t""},{""color"":""#F99D70"",""text"":""u""},{""color"":""#FAA687"",""text"":""r""},{""color"":""#FCAE9D"",""text"":""e""},{""color"":""#FDB7B4"",""text"":"" ""},{""color"":""#FFC0CB"",""text"":""ɞ""}],""text"":""""}","ʚ Koori's Adventure ɞ","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""#FFC0CB"",""font"":""minecraft:alt"",""text"":""[""},{""extra"":[{""color"":""#FFC5CF"",""text"":"" ""},{""color"":""#FFCBD4"",""text"":""J""},{""color"":""#FFD0D8"",""text"":""o""},{""color"":""#FFD5DC"",""text"":""i""},{""color"":""#FFDAE1"",""text"":""n""},{""color"":""#FFE0E5"",""text"":"" ""},{""color"":""#FFE5E9"",""text"":""t""},{""color"":""#FFEAEE"",""text"":""h""},{""color"":""#FFEFF2"",""text"":""e""},{""color"":""#FFF5F6"",""text"":"" ""},{""color"":""#FFFAFB"",""text"":""D""},{""color"":""white"",""text"":""u""},{""color"":""#FFFAFB"",""text"":""n""},{""color"":""#FFF5F6"",""text"":""g""},{""color"":""#FFEFF2"",""text"":""e""},{""color"":""#FFEAEE"",""text"":""o""},{""color"":""#FFE5E9"",""text"":""n""},{""color"":""#FFE0E5"",""text"":"" ""},{""color"":""#FFDAE1"",""text"":""n""},{""color"":""#FFD5DC"",""text"":""o""},{""color"":""#FFD0D8"",""text"":""w""},{""color"":""#FFCBD4"",""text"":""!""},{""color"":""#FFC5CF"",""text"":"" ""}],""text"":""""},{""color"":""#FFC0CB"",""font"":""minecraft:alt"",""text"":""]""}],""text"":""""}","[ Join the Dungeon now! ]","dragon_breath","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#1FFF0F"",""text"":""ᴍᴏᴅ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""gray"",""extra"":[{""color"":""#AAFF77"",""text"":""K""},{""color"":""#B0FF81"",""text"":""o""},{""color"":""#B7FF8C"",""text"":""o""},{""color"":""#BDFF96"",""text"":""r""},{""color"":""#C4FFA1"",""text"":""i""},{""color"":""#CAFFAB"",""text"":""K""},{""color"":""#D1FFB5"",""text"":""i""},{""color"":""#D7FFC0"",""text"":""t""},{""color"":""#DEFFCA"",""text"":""s""},{""color"":""#E4FFD4"",""text"":""u""},{""color"":""#EBFFDF"",""text"":""n""},{""color"":""#F1FFE9"",""text"":""e""},{""color"":""#F8FFF4"",""text"":""3""},{""color"":""#FEFFFE"",""text"":""8""}],""text"":""""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ᴍᴏᴅ | KooriKitsune38",948,75,false,false,-1
,"{""italic"":false,""text"":""Apocalypse Survival""}","Apocalypse Survival","{""italic"":false,""color"":""gray"",""text"":""Community build area!""}","Community build area!","rotten_flesh","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#8888FF"",""text"":""ꜰᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#7777FF"",""text"":""1""},{""color"":""#7481FF"",""text"":""2""},{""color"":""#728CFF"",""text"":""3""},{""color"":""#6F96FF"",""text"":""y""},{""color"":""#6DA1FF"",""text"":""e""},{""color"":""#6AABFF"",""text"":""a""},{""color"":""#67B6FF"",""text"":""h""},{""color"":""#65C0FF"",""text"":""_""},{""color"":""#62CBFF"",""text"":""b""},{""color"":""#5FD5FF"",""text"":""o""},{""color"":""#5DE0FF"",""text"":""i""},{""color"":""#5AEAFF"",""text"":""3""},{""color"":""#58F5FF"",""text"":""2""},{""color"":""aqua"",""text"":""1""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ꜰᴍ | 123yeah_boi321",881,71,true,false,-1
,"{""italic"":false,""text"":""Wave""}","Wave","{""italic"":false,""color"":""gray"",""text"":""Work In Progress""}","Work In Progress","water_bucket","{""italic"":false,""color"":""gray"",""text"":""Alyxeradizephrea""}","Alyxeradizephrea",598,71,false,false,-1
,"{""italic"":false,""text"":""♔ ♕ ♖ ♗ ♘ ♙ Chess ♟ ♞ ♝ ♜ ♛ ♚""}","♔ ♕ ♖ ♗ ♘ ♙ Chess ♟ ♞ ♝ ♜ ♛ ♚","{""italic"":false,""color"":""gray"",""text"":""ELO UPDATED!""}","ELO UPDATED!","player_head","{""italic"":false,""color"":""gray"",""text"":""E_ple""}","E_ple",882,68,false,false,-1
,"{""italic"":false,""text"":""Simple RPG""}","Simple RPG","{""italic"":false,""color"":""gray"",""text"":""Simple RPG, minecraft server!""}","Simple RPG, minecraft server!","player_head","{""italic"":false,""color"":""gray"",""text"":""Cyphe_Mercury""}","Cyphe_Mercury",1686,68,false,false,-1
,"{""italic"":false,""text"":""Redstone's Kit Pvp""}","Redstone's Kit Pvp","{""italic"":false,""color"":""gray"",""text"":""Ready to play!""}","Ready to play!","chest","{""italic"":false,""color"":""gray"",""text"":""RedstoneKing333""}","RedstoneKing333",2125,68,false,false,-1
,"{""italic"":false,""extra"":[{""color"":""#4EADC2"",""text"":""B""},{""color"":""#49A8BF"",""text"":""l""},{""color"":""#44A3BC"",""text"":""o""},{""color"":""#3F9DB9"",""text"":""c""},{""color"":""#3A98B6"",""text"":""k""},{""color"":""#3593B3"",""text"":"" ""},{""color"":""#318EB1"",""text"":""W""},{""color"":""#2C88AE"",""text"":""a""},{""color"":""#2783AB"",""text"":""r""},{""color"":""#227EA8"",""text"":""f""},{""color"":""#1D79A5"",""text"":""a""},{""color"":""#1873A2"",""text"":""r""},{""color"":""#136E9F"",""text"":""e""}],""text"":""""}","Block Warfare","{""italic"":false,""color"":""gray"",""text"":""Coming Soon™""}","Coming Soon™","arrow","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#8888FF"",""text"":""ꜰᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#7777FF"",""text"":""I""},{""color"":""#7386FF"",""text"":""J""},{""color"":""#6F95FF"",""text"":""s""},{""color"":""#6CA4FF"",""text"":""m""},{""color"":""#68B3FF"",""text"":""e""},{""color"":""#64C3FF"",""text"":""e""},{""color"":""#60D2FF"",""text"":""s""},{""color"":""#5DE1FF"",""text"":""t""},{""color"":""#59F0FF"",""text"":""e""},{""color"":""aqua"",""text"":""r""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ꜰᴍ | IJsmeester",880,67,true,false,-1
,"{""italic"":false,""text"":""Stop Drop and Dance + More""}","Stop Drop and Dance + More","{""italic"":false,""color"":""gray"",""text"":""Anvil is Open for Testing!""}","Anvil is Open for Testing!","music_disc_otherside","{""italic"":false,""color"":""gray"",""extra"":[{""color"":""green"",""extra"":[{""color"":""#8888FF"",""text"":""ꜰᴍ""},{""text"":"" ""},{""color"":""dark_gray"",""extra"":[{""color"":""#7777FF"",""text"":""B""},{""color"":""#7485FF"",""text"":""r""},{""color"":""#7092FF"",""text"":""i""},{""color"":""#6DA0FF"",""text"":""c""},{""color"":""#69ADFF"",""text"":""k""},{""color"":""#66BBFF"",""text"":""B""},{""color"":""#63C9FF"",""text"":""o""},{""color"":""#5FD6FF"",""text"":""t""},{""color"":""#5CE4FF"",""text"":""2""},{""color"":""#58F1FF"",""text"":""_""},{""color"":""aqua"",""text"":""0""}],""text"":""| ""}],""text"":""""}],""text"":""""}","ꜰᴍ | BrickBot2_0",612,66,true,false,-1
,"{""italic"":false,""text"":""☠ ZOMBIES ☠""}","☠ ZOMBIES ☠","{""italic"":false,""color"":""gray"",""text"":""Similar to Hypixel/COD Zombies""}","Similar to Hypixel/COD Zombies","zombie_head","{""italic"":false,""color"":""gray"",""text"":""Siege87""}","Siege87",928,60,false,false,-1
